"Customer comment","Commentaire du client"
"Add a comment","Ajouter un commentaire"
"Order comment","Commentaire commande"
"Enable","Activer"
"Display in cart","Afficher dans le panier"
"Field comment displayed in cart","Commentaire du champ affiché dans le panier"
"The text you want to display under the textarea","Le texte que vous souhaitez afficher en-dessous de la zone de texte"
"Save comment","Sauvegarder le commentaire"
"Your comment has been saved.","Votre commentaire a bien été sauvegardé."
"An error occurred when trying to save your comment, please try again.","Une erreur a eu lieu en tentant de sauvegarder votre commentaire, réessayez s'il-vous-plaît."
"There was an issue when saving customer comment, here it is: %s","Il y a eu un problème lors de la sauvegarde du commentaire, le voici : %s"
